top_movie,year,genre,score,tickets_sold,budget,gross,inflation_adjusted_gross
Maze Runner: The Death Cure,2018,Thriller or Suspense,71.0,68364643,61000000.0,613231037,613230848
The Hunger Games,2012,Thriller or Suspense,72.0,192752112,80000000.0,1534307056,1728986445
Rush Hour,1998,Action,70.0,207497162,35000000.0,973161753,1861249543
How the Grinch Stole Christmas,2000,Adventure,67.0,246254507,123000000.0,1327311892,2208902928
Rush Hour 2,2001,Action,67.0,245693043,90000000.0,1390622699,2203866596
American Pie 2,2001,Comedy,62.0,261074728,30000000.0,1477683205,2341840310
Wonder Woman,2017,Action,72.0,368529372,150000000.0,3305708764,3305708467
Wonder Woman,2017,Action,72.0,368529372,150000000.0,3305708764,3305708467
Baby Driver,2017,Thriller or Suspense,75.0,77766030,34000000.0,697561514,697561289
Django Unchained,2012,Western,82.0,13353944,100000000.0,106297399,119784878
Sex and the City,2008,Comedy,66.0,249134624,57500000.0,2099450726,2234737577
Se7en,1995,Thriller or Suspense,84.0,75844582,30000000.0,329923961,680325901
Men in Black,1997,Adventure,72.0,192135684,90000000.0,881902843,1723457085
Armageddon,1998,Adventure,68.0,344236174,140000000.0,1614467732,3087798481
Guardians of the Galaxy,2014,Action,79.0,318724501,170000000.0,2603979395,2858958774
The Magnificent Seven,2016,Western,64.0,16628696,90000000.0,147170965,149159403
The Magnificent Seven,2016,Western,75.0,16628696,90000000.0,147170965,149159403
Finding Dory,2016,Adventure,70.0,478096752,200000000.0,4159137913,4288527865
Ghostbusters,2016,Comedy,54.0,161840867,144000000.0,1409767232,1451712577
Ghostbusters,2016,Comedy,54.0,161840867,30000000.0,1409767232,1451712577
Ghostbusters,2016,Comedy,75.0,161840867,144000000.0,1409767232,1451712577
Ghostbusters,2016,Comedy,75.0,161840867,30000000.0,1409767232,1451712577
Independence Day,1996,Adventure,69.0,291966054,75000000.0,1290490033,2618935504
Grease,1998,Musical,74.0,14330561,6000000.0,67210342,128545132
Paranormal Activity,2009,Horror,60.0,70287470,450000.0,584680109,630478606
The Fault in Our Stars,2014,Drama,76.0,201778765,12000000.0,1648533596,1809955522
Ocean's Eleven,2001,Thriller or Suspense,74.0,119179554,85000000.0,674556330,1069040599
Ocean's Eleven,2001,Thriller or Suspense,64.0,119179554,85000000.0,674556330,1069040599
Kick-Ass,2010,Dark Comedy,71.0,6745113,28000000.0,53218987,60503664
The Da Vinci Code,2006,Thriller or Suspense,67.0,112914419,125000000.0,739589574,1012842338
Focus,2015,Romantic Comedy,69.0,8790834,65000000.0,74106836,78853781
"I, Robot",2004,Action,69.0,172119948,105000000.0,1068864943,1543915934
Anastasia,1997,Musical,76.0,24929194,53000000.0,114425007,223614870
War of the Worlds,2005,Action,65.0,211688288,132000000.0,1356922056,1898843943
The Grudge,2004,Horror,55.0,74874297,10000000.0,464969445,671622444
The Grudge,2004,Horror,55.0,74874297,10000000.0,464969445,671622444
The Grudge,2004,Horror,59.0,74874297,10000000.0,464969445,671622444
The Grudge,2004,Horror,59.0,74874297,10000000.0,464969445,671622444
Freddy vs. Jason,2003,Horror,60.0,74632219,25000000.0,450032336,669451004
Saw II,2005,Horror,66.0,91717406,5000000.0,587908674,822705132
Saw III,2006,Horror,64.0,84470742,10000000.0,553283464,757702556
Super 8,2011,Thriller or Suspense,68.0,110302117,50000000.0,928786329,989409989
The Departed,2006,Drama,82.0,239145382,90000000.0,1566403106,2145134077
The Matrix Reloaded,2003,Action,70.0,349818376,150000000.0,2109404900,3137870833
22 Jump Street,2014,Comedy,68.0,155477200,50000000.0,1270249093,1394630484
The Sixth Sense,1999,Thriller or Suspense,79.0,113165323,40000000.0,574879882,1015092947
The Lego Movie,2014,Adventure,74.0,334755123,60000000.0,2734961640,3002753453
The Bourne Supremacy,2004,Thriller or Suspense,73.0,129095226,85000000.0,801681437,1157984177
The Heat,2013,Comedy,66.0,199227435,43000000.0,1619719448,1787070092
Goosebumps,2015,Horror,63.0,43043467,58000000.0,374324652,386099899
Saw V,2008,Horror,62.0,33899031,10800000.0,293647307,304074308
Paranormal Activity 3,2011,Horror,59.0,47796580,5000000.0,404326975,428735323
The Ring,2002,Horror,66.0,51254391,48000000.0,297788051,459751887
Cast Away,2001,Drama,77.0,243319703,85000000.0,1377189931,2182577736
The Lone Ranger,2013,Western,61.0,17940856,225000000.0,145859175,160929478
Everest,1998,Documentary,68.0,18327179,65000000.0,85954501,164394796
The Blair Witch Project,1999,Horror,63.0,93937896,600000.0,477204556,842622927
The Accountant,2016,Thriller or Suspense,71.0,74687059,40000000.0,652302676,669942919
The Great Gatsby,2013,Drama,74.0,164612723,190000000.0,1338302458,1476576125
The Great Gatsby,2013,Drama,74.0,164612723,7000000.0,1338302458,1476576125
The Great Gatsby,2013,Drama,63.0,164612723,190000000.0,1338302458,1476576125
The Great Gatsby,2013,Drama,63.0,164612723,7000000.0,1338302458,1476576125
A Beautiful Mind,2002,Drama,79.0,275712631,78000000.0,1601890899,2473142300
Moana,2016,Musical,76.0,28773877,150000000.0,248894081,258101677
21 Jump Street,2012,Comedy,69.0,131991738,42000000.0,1050654625,1183965890
Mamma Mia!,2008,Musical,70.0,29103388,52000000.0,260176422,261057390
